saleID,batchID,productID,cost,openWeight,openPrice,closeWeight,closePrice,entryStatus,sorter,sharp,note,displayName,entryDate,_id,__v
67ce8d970a66069219aece55,67ce94e7f072a3a4b157dad9,67ce9519f072a3a4b157db4b,13000,17.79,19500,0,19500,C,3,"[""หยดน้ำ""]",,7x5,2025-03-10T07:49:27.467Z,67ce9987f072a3a4b157e49b,0
67ce8d970a66069219aece55,67ce94e7f072a3a4b157dad9,67ce9817f072a3a4b157e123,13000,18.71,25000,18.71,21000,Y,3,"[""หยดน้ำ""]",,7x5,2025-03-10T07:49:58.217Z,67ce99a6f072a3a4b157e5a7,0
67ce96c3f072a3a4b157de48,67ce985ff072a3a4b157e1e7,67ce9907f072a3a4b157e284,1650,2.78,2500,0,2500,C,3,[],,▯5x2.5,2025-03-10T08:26:02.184Z,67cea21ac1b9ec03185834dd,0
67ce96c3f072a3a4b157de48,67ce985ff072a3a4b157e1e7,67cea22dc1b9ec0318583566,5400,2.58,7750,0,7750,C,4,[],,▯5x2.5,2025-03-10T08:26:34.775Z,67cea23ac1b9ec0318583585,0
67ce96c3f072a3a4b157de48,67ce985ff072a3a4b157e1e7,67ce9907f072a3a4b157e284,1650,2.81,3250,0,3250,C,5,[],,▯5x2.5,2025-03-10T08:27:11.107Z,67cea25fc1b9ec0318583712,0
67ce96c3f072a3a4b157de48,67ce985ff072a3a4b157e1e7,67cea22dc1b9ec0318583566,5400,2.86,9000,0,9000,C,6,[],,▯5x2.5,2025-03-10T08:27:32.264Z,67cea274c1b9ec0318583801,0
67ce96c3f072a3a4b157de48,67cea2c2c1b9ec0318583953,67cea29ac1b9ec0318583924,9550,10.79,13500,10.79,11500,Y,7,[],,⦻ 4 มิล,2025-03-10T08:29:21.055Z,67cea2e1c1b9ec03185839bb,0
67cea325c1b9ec0318583b04,67cea2c2c1b9ec0318583953,67cea379c1b9ec0318583be9,6500,72.28,9500,72.28,7336.14,Y,8,[],,6x4,2025-03-10T08:32:21.101Z,67cea395c1b9ec0318583c08,0
67cea325c1b9ec0318583b04,67cea2c2c1b9ec0318583953,67cea3bec1b9ec0318583db9,10400,33.3,15000,33.3,11583.38,Y,9,[],,6x4,2025-03-10T08:33:32.591Z,67cea3dcc1b9ec0318583dd8,0
67cea325c1b9ec0318583b04,67cea2c2c1b9ec0318583953,67cea3fbc1b9ec0318583eef,5200,29.25,9000,0,9000,C,10,[],,6x4,2025-03-10T08:34:28.135Z,67cea414c1b9ec0318583f0e,0
67cea325c1b9ec0318583b04,67cea2c2c1b9ec0318583953,67cea439c1b9ec0318584024,3900,40.19,6500,40.19,5019.47,Y,11,[],,▯ 5x3,2025-03-10T08:35:26.498Z,67cea44ec1b9ec0318584043,0
67cea325c1b9ec0318583b04,67cea2c2c1b9ec0318583953,67cea47fc1b9ec031858417b,5650,37.46,10000,37.46,7722.26,Y,12,[],,▯ 5x3,2025-03-10T08:36:29.043Z,67cea48dc1b9ec031858419a,0
67cea325c1b9ec0318583b04,67cea2c2c1b9ec0318583953,67cea4b5c1b9ec03185842b1,2475,16.71,5000,0,5000,C,13,[],,▯ 5x3,2025-03-10T08:37:24.855Z,67cea4c4c1b9ec03185842d0,0
67cea325c1b9ec0318583b04,67cea2c2c1b9ec0318583953,67cea4eec1b9ec03185843e6,7675,23.14,10000,23.14,7722.26,Y,14,[],,4 มิล,2025-03-10T08:38:21.863Z,67cea4fdc1b9ec0318584405,0
