grainID,sizeName,sorter,_id,__v,sorter.bytes,sorter.bytes.0,sorter.bytes.1,sorter.bytes.2,sorter.bytes.3,sorter.bytes.4,sorter.bytes.5,sorter.bytes.6,sorter.bytes.7,sorter.bytes.8,sorter.bytes.9,sorter.bytes.10,sorter.bytes.11,sorter.bytes.12,sorter.bytes.13,sorter.bytes.14,sorter.bytes.15,sorter.$numberDecimal
677cadc90930e80452a6e334,ไซส์ 1 ก,1,678f2957c996ede64c957eb2,0,,,,,,,,,,,,,,,,,,
677cadc90930e80452a6e334,ไซส์ 2 ก,2,678f295dc996ede64c957eb9,0,,,,,,,,,,,,,,,,,,
677cadc90930e80452a6e334,8x6,3,678f2966c996ede64c957ec0,0,,,,,,,,,,,,,,,,,,
677cadc90930e80452a6e334,ไซส์ 3 ก,4,67ce87cb0a66069219aeca6e,0,,,,,,,,,,,,,,,,,,
677cadc90930e80452a6e334,▯ 7x5,5,67ce886a0a66069219aeca8f,0,,,,,,,,,,,,,,,,,,
677cadc90930e80452a6e334,▯ 8x6,6,67ce88740a66069219aeca96,0,,,,,,,,,,,,,,,,,,
677cadc90930e80452a6e334,ไซส์ 4 ก,7,67ce887f0a66069219aeca9d,0,,,,,,,,,,,,,,,,,,
677cadc90930e80452a6e334,ไซส์ 5 ก,8,67ce88840a66069219aecaa4,0,,,,,,,,,,,,,,,,,,
677cadc90930e80452a6e334,ไซส์ 6 ก,9,67ce888a0a66069219aecaab,0,,,,,,,,,,,,,,,,,,
677cadc90930e80452a6e334,ไซส์ 7 ก,10,67ce88900a66069219aecab2,0,,,,,,,,,,,,,,,,,,
677cadc90930e80452a6e334,ไซส์ 8 ก,11,67ce89020a66069219aecacf,0,,,,,,,,,,,,,,,,,,
677cadc90930e80452a6e334,ไซส์ 9 ก,12,67ce890a0a66069219aecad6,0,,,,,,,,,,,,,,,,,,
677cadc90930e80452a6e334,ไซส์ 11 ก,13,67ce89110a66069219aecadd,0,,,,,,,,,,,,,,,,,,
